juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,9,1204,POPU,TRI,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,9,1205,POPU,DEL,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,9,1205,POPU,DEL,DEL,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,9,1214,POPU,AGU,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
AB,9,1303,BETU,PAP,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,9,1303,BETU,PAP,PAP,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,9,1404,ACER,NEG,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,9,1500,GENH,SPP,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,9,1550,GENH,SPP,,-1.7232720000,-0.0013644000,0.0205927000,-3.4442070000,-0.0087834000,0.6099656000,-2.3313820000,0.0055207000,-0.2235254000,4
AB,9,3500,SALI,SPP,,-1.9071530000,-0.0006828000,-0.0151898000,-2.5580350000,-0.0010482000,0.2966087000,-1.4609300000,-0.0005906000,-0.3045906000,1479
AB,9,3508,SALI,DIS,,-1.9071530000,-0.0006828000,-0.0151898000,-2.5580350000,-0.0010482000,0.2966087000,-1.4609300000,-0.0005906000,-0.3045906000,1479
AB,10,100,PICE,SPP,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,10,101,PICE,MAR,,-1.3958370000,-0.0006433000,-0.0796023000,-1.2560140000,-0.0009974000,-0.0741330000,-0.8679180000,-0.0026773000,-0.1059732000,81
AB,10,104,PICE,ENG,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,10,104,PICE,ENG,GLA,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
