Iteration;Period;Output;Value;Type
"7";"11";OVOLREC;37219.48697;Total
"7";"11";OSUPPL;0.00000;Total
"7";"11";VOLINVENT;142825.39188;Total
"2";"12";OSUPREC;351.04016;Total
"2";"12";OVOLREC;37052.27433;Total
"2";"12";OSUPPL;0.00000;Total
"2";"12";VOLINVENT;134349.68547;Total
"7";"12";OSUPREC;351.04016;Total
"7";"12";OVOLREC;37052.27433;Total
"7";"12";OSUPPL;0.00000;Total
"7";"12";VOLINVENT;134349.68547;Total
"2";"13";OSUPREC;203.23292;Total
"2";"13";OVOLREC;36857.77219;Total
"2";"13";OSUPPL;201.64000;Total
"2";"13";VOLINVENT;130181.89868;Total
"7";"13";OSUPREC;203.23292;Total
"7";"13";OVOLREC;36857.77219;Total
"7";"13";OSUPPL;201.64000;Total
"7";"13";VOLINVENT;130181.89868;Total
"2";"14";OSUPREC;327.03500;Total
"2";"14";OVOLREC;36749.16055;Total
"2";"14";OSUPPL;0.00000;Total
"2";"14";VOLINVENT;126657.46463;Total
"7";"14";OSUPREC;327.03500;Total
"7";"14";OVOLREC;36749.16055;Total
"7";"14";OSUPPL;0.00000;Total
"7";"14";VOLINVENT;126657.46463;Total
"2";"15";OSUPREC;346.27609;Total
"2";"15";OVOLREC;36644.00897;Total
"2";"15";OSUPPL;0.00000;Total
"2";"15";VOLINVENT;124009.42120;Total
"7";"15";OSUPREC;346.27609;Total
"7";"15";OVOLREC;36644.00897;Total
"7";"15";OSUPPL;0.00000;Total
"7";"15";VOLINVENT;124009.42120;Total
"2";"16";OSUPREC;359.65831;Total
"2";"16";OVOLREC;36612.50927;Total
"2";"16";OSUPPL;0.00000;Total
"2";"16";VOLINVENT;121416.93674;Total
"7";"16";OSUPREC;359.65831;Total
"7";"16";OVOLREC;36612.50927;Total
"7";"16";OSUPPL;0.00000;Total
"7";"16";VOLINVENT;121416.93674;Total
"2";"17";OSUPREC;304.89531;Total
"2";"17";OVOLREC;36592.48942;Total
"2";"17";OSUPPL;0.00000;Total
"2";"17";VOLINVENT;118383.02366;Total
"7";"17";OSUPREC;304.89531;Total
"7";"17";OVOLREC;36592.48942;Total
