Iteration;Period;Output;Value;Type
"8";"9";OSUPPL;51.19042;Total
"8";"9";VOLINVENT;180831.76837;Total
"3";"10";OSUPREC;271.73367;Total
"3";"10";OVOLREC;38681.26027;Total
"3";"10";OSUPPL;0.00000;Total
"3";"10";VOLINVENT;175485.49673;Total
"8";"10";OSUPREC;271.73367;Total
"8";"10";OVOLREC;38681.26027;Total
"8";"10";OSUPPL;0.00000;Total
"8";"10";VOLINVENT;175485.49673;Total
"3";"11";OSUPREC;359.92087;Total
"3";"11";OVOLREC;38427.60002;Total
"3";"11";OSUPPL;0.00000;Total
"3";"11";VOLINVENT;170536.15086;Total
"8";"11";OSUPREC;359.92087;Total
"8";"11";OVOLREC;38427.60002;Total
"8";"11";OSUPPL;0.00000;Total
"8";"11";VOLINVENT;170536.15086;Total
"3";"12";OSUPREC;357.92754;Total
"3";"12";OVOLREC;38290.43206;Total
"3";"12";OSUPPL;0.00000;Total
"3";"12";VOLINVENT;165862.73283;Total
"8";"12";OSUPREC;357.92754;Total
"8";"12";OVOLREC;38290.43206;Total
"8";"12";OSUPPL;0.00000;Total
"8";"12";VOLINVENT;165862.73283;Total
"3";"13";OSUPREC;319.84148;Total
"3";"13";OVOLREC;38155.74147;Total
"3";"13";OSUPPL;0.00000;Total
"3";"13";VOLINVENT;161648.82612;Total
"8";"13";OSUPREC;319.84148;Total
"8";"13";OVOLREC;38155.74147;Total
"8";"13";OSUPPL;0.00000;Total
"8";"13";VOLINVENT;161648.82612;Total
"3";"14";OSUPREC;306.61222;Total
"3";"14";OVOLREC;37983.68029;Total
"3";"14";OSUPPL;0.00000;Total
"3";"14";VOLINVENT;157973.10351;Total
"8";"14";OSUPREC;306.61222;Total
"8";"14";OVOLREC;37983.68029;Total
"8";"14";OSUPPL;0.00000;Total
"8";"14";VOLINVENT;157973.10351;Total
"3";"15";OSUPREC;306.02476;Total
"3";"15";OVOLREC;37803.60563;Total
"3";"15";OSUPPL;0.00000;Total
"3";"15";VOLINVENT;154820.36648;Total
"8";"15";OSUPREC;306.02476;Total
"8";"15";OVOLREC;37803.60563;Total
"8";"15";OSUPPL;0.00000;Total
"8";"15";VOLINVENT;154820.36648;Total
"3";"16";OSUPREC;365.05124;Total
"3";"16";OVOLREC;37633.80507;Total
"3";"16";OSUPPL;0.00000;Total
"3";"16";VOLINVENT;151888.73372;Total
"8";"16";OSUPREC;365.05124;Total
"8";"16";OVOLREC;37633.80507;Total
"8";"16";OSUPPL;0.00000;Total
"8";"16";VOLINVENT;151888.73372;Total
"3";"17";OSUPREC;363.23594;Total
"3";"17";OVOLREC;37544.52575;Total
"3";"17";OSUPPL;0.00000;Total
"3";"17";VOLINVENT;149099.46427;Total
"8";"17";OSUPREC;363.23594;Total
"8";"17";OVOLREC;37544.52575;Total
"8";"17";OSUPPL;0.00000;Total
"8";"17";VOLINVENT;149099.46427;Total
"3";"18";OSUPREC;335.94523;Total
"3";"18";OVOLREC;37459.42366;Total
"3";"18";OSUPPL;0.00000;Total
"3";"18";VOLINVENT;146556.33444;Total
"8";"18";OSUPREC;335.94523;Total
"8";"18";OVOLREC;37459.42366;Total
"8";"18";OSUPPL;0.00000;Total
"8";"18";VOLINVENT;146556.33444;Total
"3";"19";OSUPREC;252.08471;Total
"3";"19";OVOLREC;37349.70232;Total
"3";"19";OSUPPL;0.00000;Total
"3";"19";VOLINVENT;142684.39401;Total
"8";"19";OSUPREC;252.08471;Total
"8";"19";OVOLREC;37349.70232;Total
"8";"19";OSUPPL;0.00000;Total
"8";"19";VOLINVENT;142684.39401;Total
"3";"20";OSUPREC;271.02335;Total
"3";"20";OVOLREC;37234.73522;Total
"3";"20";OSUPPL;0.00000;Total
"3";"20";VOLINVENT;139866.35191;Total
"8";"20";OSUPREC;271.02335;Total
"8";"20";OVOLREC;37234.73522;Total
"8";"20";OSUPPL;0.00000;Total
"8";"20";VOLINVENT;139866.35191;Total
"4";"2";OSUPREC;300.63530;Total
"4";"2";OVOLREC;40971.26069;Total
"4";"2";OSUPPL;300.63530;Total
"4";"2";VOLINVENT;251524.00029;Total
"9";"2";OSUPREC;300.63530;Total
"9";"2";OVOLREC;40971.26069;Total
"9";"2";OSUPPL;300.63530;Total
"9";"2";VOLINVENT;251524.00029;Total
"4";"3";OSUPREC;203.58721;Total
"4";"3";OVOLREC;40729.12486;Total
"4";"3";OSUPPL;203.58721;Total
"4";"3";VOLINVENT;236115.65400;Total
"9";"3";OSUPREC;203.58721;Total
"9";"3";OVOLREC;40729.12486;Total
"9";"3";OSUPPL;203.58721;Total
"9";"3";VOLINVENT;236115.65400;Total
"4";"4";OSUPREC;181.41194;Total
"4";"4";OVOLREC;40386.68973;Total
"4";"4";OSUPPL;181.41194;Total
"4";"4";VOLINVENT;223589.50999;Total
"9";"4";OSUPREC;181.41194;Total
"9";"4";OVOLREC;40386.68973;Total
"9";"4";OSUPPL;181.41194;Total
"9";"4";VOLINVENT;223589.50999;Total
"4";"5";OSUPREC;198.10848;Total
"4";"5";OVOLREC;39961.86737;Total
"4";"5";OSUPPL;198.10848;Total
"4";"5";VOLINVENT;212978.35640;Total
"9";"5";OSUPREC;198.10848;Total
"9";"5";OVOLREC;39961.86737;Total
"9";"5";OSUPPL;198.10848;Total
"9";"5";VOLINVENT;212978.35640;Total
"4";"6";OSUPREC;345.58539;Total
"4";"6";OVOLREC;39575.27331;Total
"4";"6";OSUPPL;49.38086;Total
"4";"6";VOLINVENT;203370.86157;Total
"9";"6";OSUPREC;345.58539;Total
"9";"6";OVOLREC;39575.27331;Total
"9";"6";OSUPPL;49.38086;Total
"9";"6";VOLINVENT;203370.86157;Total
"4";"7";OSUPREC;344.05155;Total
"4";"7";OVOLREC;39392.53180;Total
"4";"7";OSUPPL;43.41625;Total
"4";"7";VOLINVENT;194883.87030;Total
"9";"7";OSUPREC;344.05155;Total
"9";"7";OVOLREC;39392.53180;Total
"9";"7";OSUPPL;43.41625;Total
"9";"7";VOLINVENT;194883.87030;Total
"4";"8";OSUPREC;287.35940;Total
"4";"8";OVOLREC;39207.46463;Total
"4";"8";OSUPPL;83.77219;Total
"4";"8";VOLINVENT;187170.94941;Total
"9";"8";OSUPREC;287.35940;Total
"9";"8";OVOLREC;39207.46463;Total
"9";"8";OSUPPL;83.77219;Total
"9";"8";VOLINVENT;187170.94941;Total
"4";"9";OSUPREC;269.99992;Total
"4";"9";OVOLREC;38954.92636;Total
"4";"9";OSUPPL;51.19042;Total
"4";"9";VOLINVENT;180831.76837;Total
"9";"9";OSUPREC;269.99992;Total
"9";"9";OVOLREC;38954.92636;Total
"9";"9";OSUPPL;51.19042;Total
"9";"9";VOLINVENT;180831.76837;Total
"4";"10";OSUPREC;271.73367;Total
"4";"10";OVOLREC;38681.26027;Total
"4";"10";OSUPPL;0.00000;Total
"4";"10";VOLINVENT;175485.49673;Total
"9";"10";OSUPREC;271.73367;Total
"9";"10";OVOLREC;38681.26027;Total
"9";"10";OSUPPL;0.00000;Total
"9";"10";VOLINVENT;175485.49673;Total
"4";"11";OSUPREC;359.92087;Total
"4";"11";OVOLREC;38427.60002;Total
"4";"11";OSUPPL;0.00000;Total
"4";"11";VOLINVENT;170536.15086;Total
"9";"11";OSUPREC;359.92087;Total
"9";"11";OVOLREC;38427.60002;Total
"9";"11";OSUPPL;0.00000;Total
"9";"11";VOLINVENT;170536.15086;Total
"4";"12";OSUPREC;357.92754;Total
"4";"12";OVOLREC;38290.43206;Total
"4";"12";OSUPPL;0.00000;Total
"4";"12";VOLINVENT;165862.73283;Total
"9";"12";OSUPREC;357.92754;Total
"9";"12";OVOLREC;38290.43206;Total
"9";"12";OSUPPL;0.00000;Total
"9";"12";VOLINVENT;165862.73283;Total
"4";"13";OSUPREC;319.84148;Total
"4";"13";OVOLREC;38155.74147;Total
"4";"13";OSUPPL;0.00000;Total
"4";"13";VOLINVENT;161648.82612;Total
"9";"13";OSUPREC;319.84148;Total
"9";"13";OVOLREC;38155.74147;Total
"9";"13";OSUPPL;0.00000;Total
"9";"13";VOLINVENT;161648.82612;Total
"4";"14";OSUPREC;306.61222;Total
"4";"14";OVOLREC;37983.68029;Total
"4";"14";OSUPPL;0.00000;Total
"4";"14";VOLINVENT;157973.10351;Total
"9";"14";OSUPREC;306.61222;Total
"9";"14";OVOLREC;37983.68029;Total
"9";"14";OSUPPL;0.00000;Total
"9";"14";VOLINVENT;157973.10351;Total
"4";"15";OSUPREC;306.02476;Total
