Iteration;Period;Output;Value;Type
"2";"13";OVOLREC;0.00000;Total
"2";"13";OSUPPL;0.00000;Total
"2";"13";VOLINVENT;196606.15282;Total
"7";"13";OSUPREC;0.00000;Total
"7";"13";OVOLREC;0.00000;Total
"7";"13";OSUPPL;0.00000;Total
"7";"13";VOLINVENT;196606.15282;Total
"2";"14";OSUPREC;0.00000;Total
"2";"14";OVOLREC;0.00000;Total
"2";"14";OSUPPL;0.00000;Total
"2";"14";VOLINVENT;192890.66163;Total
"7";"14";OSUPREC;0.00000;Total
"7";"14";OVOLREC;0.00000;Total
"7";"14";OSUPPL;0.00000;Total
"7";"14";VOLINVENT;192890.66163;Total
"2";"15";OSUPREC;0.00000;Total
"2";"15";OVOLREC;0.00000;Total
"2";"15";OSUPPL;0.00000;Total
"2";"15";VOLINVENT;189563.72449;Total
"7";"15";OSUPREC;0.00000;Total
"7";"15";OVOLREC;0.00000;Total
"7";"15";OSUPPL;0.00000;Total
"7";"15";VOLINVENT;189563.72449;Total
"2";"16";OSUPREC;0.00000;Total
"2";"16";OVOLREC;0.00000;Total
"2";"16";OSUPPL;0.00000;Total
"2";"16";VOLINVENT;185872.02643;Total
"7";"16";OSUPREC;0.00000;Total
"7";"16";OVOLREC;0.00000;Total
"7";"16";OSUPPL;0.00000;Total
"7";"16";VOLINVENT;185872.02643;Total
"2";"17";OSUPREC;0.00000;Total
"2";"17";OVOLREC;0.00000;Total
"2";"17";OSUPPL;0.00000;Total
"2";"17";VOLINVENT;183011.63062;Total
"7";"17";OSUPREC;0.00000;Total
"7";"17";OVOLREC;0.00000;Total
"7";"17";OSUPPL;0.00000;Total
"7";"17";VOLINVENT;183011.63062;Total
"2";"18";OSUPREC;0.00000;Total
"2";"18";OVOLREC;0.00000;Total
"2";"18";OSUPPL;0.00000;Total
"2";"18";VOLINVENT;180656.30581;Total
"7";"18";OSUPREC;0.00000;Total
"7";"18";OVOLREC;0.00000;Total
"7";"18";OSUPPL;0.00000;Total
"7";"18";VOLINVENT;180656.30581;Total
"2";"19";OSUPREC;0.00000;Total
"2";"19";OVOLREC;0.00000;Total
"2";"19";OSUPPL;0.00000;Total
"2";"19";VOLINVENT;177027.59994;Total
"7";"19";OSUPREC;0.00000;Total
"7";"19";OVOLREC;0.00000;Total
"7";"19";OSUPPL;0.00000;Total
"7";"19";VOLINVENT;177027.59994;Total
"2";"20";OSUPREC;0.00000;Total
"2";"20";OVOLREC;0.00000;Total
"2";"20";OSUPPL;0.00000;Total
"2";"20";VOLINVENT;173985.55763;Total
"7";"20";OSUPREC;0.00000;Total
"7";"20";OVOLREC;0.00000;Total
"7";"20";OSUPPL;0.00000;Total
"7";"20";VOLINVENT;173985.55763;Total
"3";"1";OSUPREC;0.00000;Total
"3";"1";OVOLREC;0.00000;Total
"3";"1";OSUPPL;0.00000;Total
"3";"1";VOLINVENT;307097.72000;Total
"8";"1";OSUPREC;0.00000;Total
"8";"1";OVOLREC;0.00000;Total
"8";"1";OSUPPL;0.00000;Total
"8";"1";VOLINVENT;307097.72000;Total
"3";"2";OSUPREC;0.00000;Total
"3";"2";OVOLREC;0.00000;Total
"3";"2";OSUPPL;0.00000;Total
"3";"2";VOLINVENT;289092.92673;Total
"8";"2";OSUPREC;0.00000;Total
"8";"2";OVOLREC;0.00000;Total
"8";"2";OSUPPL;0.00000;Total
"8";"2";VOLINVENT;289092.92673;Total
"3";"3";OSUPREC;0.00000;Total
"3";"3";OVOLREC;0.00000;Total
"3";"3";OSUPPL;0.00000;Total
"3";"3";VOLINVENT;273994.55794;Total
"8";"3";OSUPREC;0.00000;Total
"8";"3";OVOLREC;0.00000;Total
"8";"3";OSUPPL;0.00000;Total
"8";"3";VOLINVENT;273994.55794;Total
"3";"4";OSUPREC;0.00000;Total
"3";"4";OVOLREC;0.00000;Total
"3";"4";OSUPPL;0.00000;Total
"3";"4";VOLINVENT;259080.77219;Total
"8";"4";OSUPREC;0.00000;Total
"8";"4";OVOLREC;0.00000;Total
"8";"4";OSUPPL;0.00000;Total
"8";"4";VOLINVENT;259080.77219;Total
"3";"5";OSUPREC;0.00000;Total
"3";"5";OVOLREC;0.00000;Total
"3";"5";OSUPPL;0.00000;Total
"3";"5";VOLINVENT;249632.14944;Total
"8";"5";OSUPREC;0.00000;Total
"8";"5";OVOLREC;0.00000;Total
"8";"5";OSUPPL;0.00000;Total
"8";"5";VOLINVENT;249632.14944;Total
"3";"6";OSUPREC;0.00000;Total
"3";"6";OVOLREC;0.00000;Total
"3";"6";OSUPPL;0.00000;Total
"3";"6";VOLINVENT;238851.21079;Total
"8";"6";OSUPREC;0.00000;Total
"8";"6";OVOLREC;0.00000;Total
"8";"6";OSUPPL;0.00000;Total
"8";"6";VOLINVENT;238851.21079;Total
"3";"7";OSUPREC;0.00000;Total
"3";"7";OVOLREC;0.00000;Total
"3";"7";OSUPPL;0.00000;Total
"3";"7";VOLINVENT;230828.56392;Total
"8";"7";OSUPREC;0.00000;Total
"8";"7";OVOLREC;0.00000;Total
"8";"7";OSUPPL;0.00000;Total
"8";"7";VOLINVENT;230828.56392;Total
"3";"8";OSUPREC;0.00000;Total
"3";"8";OVOLREC;0.00000;Total
"3";"8";OSUPPL;0.00000;Total
"3";"8";VOLINVENT;223085.95904;Total
"8";"8";OSUPREC;0.00000;Total
"8";"8";OVOLREC;0.00000;Total
"8";"8";OSUPPL;0.00000;Total
"8";"8";VOLINVENT;223085.95904;Total
"3";"9";OSUPREC;0.00000;Total
"3";"9";OVOLREC;0.00000;Total
"3";"9";OSUPPL;0.00000;Total
"3";"9";VOLINVENT;216830.74340;Total
"8";"9";OSUPREC;0.00000;Total
"8";"9";OVOLREC;0.00000;Total
"8";"9";OSUPPL;0.00000;Total
"8";"9";VOLINVENT;216830.74340;Total
"3";"10";OSUPREC;0.00000;Total
"3";"10";OVOLREC;0.00000;Total
"3";"10";OSUPPL;0.00000;Total
"3";"10";VOLINVENT;211449.42031;Total
"8";"10";OSUPREC;0.00000;Total
"8";"10";OVOLREC;0.00000;Total
"8";"10";OSUPPL;0.00000;Total
"8";"10";VOLINVENT;211449.42031;Total
"3";"11";OSUPREC;0.00000;Total
"3";"11";OVOLREC;0.00000;Total
"3";"11";OSUPPL;0.00000;Total
"3";"11";VOLINVENT;205364.54222;Total
"8";"11";OSUPREC;0.00000;Total
"8";"11";OVOLREC;0.00000;Total
"8";"11";OSUPPL;0.00000;Total
"8";"11";VOLINVENT;205364.54222;Total
"3";"12";OSUPREC;0.00000;Total
"3";"12";OVOLREC;0.00000;Total
"3";"12";OSUPPL;0.00000;Total
"3";"12";VOLINVENT;200573.88947;Total
"8";"12";OSUPREC;0.00000;Total
"8";"12";OVOLREC;0.00000;Total
"8";"12";OSUPPL;0.00000;Total
"8";"12";VOLINVENT;200573.88947;Total
"3";"13";OSUPREC;0.00000;Total
"3";"13";OVOLREC;0.00000;Total
"3";"13";OSUPPL;0.00000;Total
"3";"13";VOLINVENT;196606.15282;Total
"8";"13";OSUPREC;0.00000;Total
"8";"13";OVOLREC;0.00000;Total
"8";"13";OSUPPL;0.00000;Total
"8";"13";VOLINVENT;196606.15282;Total
"3";"14";OSUPREC;0.00000;Total
"3";"14";OVOLREC;0.00000;Total
"3";"14";OSUPPL;0.00000;Total
"3";"14";VOLINVENT;192890.66163;Total
"8";"14";OSUPREC;0.00000;Total
"8";"14";OVOLREC;0.00000;Total
"8";"14";OSUPPL;0.00000;Total
"8";"14";VOLINVENT;192890.66163;Total
"3";"15";OSUPREC;0.00000;Total
"3";"15";OVOLREC;0.00000;Total
"3";"15";OSUPPL;0.00000;Total
"3";"15";VOLINVENT;189563.72449;Total
"8";"15";OSUPREC;0.00000;Total
"8";"15";OVOLREC;0.00000;Total
"8";"15";OSUPPL;0.00000;Total
"8";"15";VOLINVENT;189563.72449;Total
"3";"16";OSUPREC;0.00000;Total
"3";"16";OVOLREC;0.00000;Total
"3";"16";OSUPPL;0.00000;Total
"3";"16";VOLINVENT;185872.02643;Total
"8";"16";OSUPREC;0.00000;Total
"8";"16";OVOLREC;0.00000;Total
"8";"16";OSUPPL;0.00000;Total
"8";"16";VOLINVENT;185872.02643;Total
"3";"17";OSUPREC;0.00000;Total
"3";"17";OVOLREC;0.00000;Total
"3";"17";OSUPPL;0.00000;Total
"3";"17";VOLINVENT;183011.63062;Total
"8";"17";OSUPREC;0.00000;Total
"8";"17";OVOLREC;0.00000;Total
"8";"17";OSUPPL;0.00000;Total
"8";"17";VOLINVENT;183011.63062;Total
"3";"18";OSUPREC;0.00000;Total
"3";"18";OVOLREC;0.00000;Total
"3";"18";OSUPPL;0.00000;Total
"3";"18";VOLINVENT;180656.30581;Total
"8";"18";OSUPREC;0.00000;Total
"8";"18";OVOLREC;0.00000;Total
"8";"18";OSUPPL;0.00000;Total
"8";"18";VOLINVENT;180656.30581;Total
"3";"19";OSUPREC;0.00000;Total
"3";"19";OVOLREC;0.00000;Total
"3";"19";OSUPPL;0.00000;Total
"3";"19";VOLINVENT;177027.59994;Total
"8";"19";OSUPREC;0.00000;Total
"8";"19";OVOLREC;0.00000;Total
"8";"19";OSUPPL;0.00000;Total
"8";"19";VOLINVENT;177027.59994;Total
"3";"20";OSUPREC;0.00000;Total
"3";"20";OVOLREC;0.00000;Total
"3";"20";OSUPPL;0.00000;Total
"3";"20";VOLINVENT;173985.55763;Total
"4";"1";OSUPREC;0.00000;Total
"4";"1";OVOLREC;0.00000;Total
"4";"1";OSUPPL;0.00000;Total
"4";"1";VOLINVENT;307097.72000;Total
"8";"20";OSUPREC;0.00000;Total
"8";"20";OVOLREC;0.00000;Total
"8";"20";OSUPPL;0.00000;Total
"8";"20";VOLINVENT;173985.55763;Total
"9";"1";OSUPREC;0.00000;Total
